-10 2278123
-11 1332926
-12 5296600
-13 919270
-14 1261641
-15 929906
-16 826986
-17 744245
-18 297430
-19 719240
-1 7978028
-20 355478
-21 402080
-22 301368
-23 170139
-24 654687
-25 113359
-26 192773
-27 217125
-28 222493
-29 179021
-2 11830450
-30 81264
-31 193466
-32 88879
-33 105563
-34 83283
-35 44568
-36 148221
-37 29348
-38 52519
-39 51773
-3 6587307
-40 53535
-41 43464
-42 20131
-43 44469
-44 21606
-45 24507
-46 19448
-47 10153
-48 30957
-49 7019
-4 4989171
-50 11923
-51 10477
-52 10968
-53 9227
-54 4081
-55 8614
-56 3959
-57 4054
-58 3942
-59 2005
-5 5156172
-6 1847955
-7 4978949
-8 2536636
-9 2919987
0 17725438
10 1400533
11 666326
12 7559664
13 480074
14 667865
15 494144
16 469368
17 493685
18 192347
19 452216
1 7938242
20 238738
21 276100
22 209969
23 117801
24 386614
25 89133
26 154946
27 132614
28 146081
29 146933
2 11186210
30 57496
31 136651
32 59833
33 74058
34 58731
35 32048
36 90826
37 20051
38 38983
39 28265
3 11840054
40 30696
41 30374
42 11661
43 25760
44 11390
45 13325
46 11262
47 5581
48 13760
49 3639
4 9079467
50 6189
51 4449
52 3857
53 4700
54 1784
55 4043
56 2095
57 1998
58 2254
59 1177
5 8713873
60 2361
61 824
62 1605
63 1172
64 765
65 1332
66 510
6 2673254
7 5186693
8 2745250
