 4
-1 -10 18194
-1 -11 50266
-1 -12 63123
-1 -13 11129
-1 -14 21817
-1 -15 8750
-1 -16 28546
-1 -17 7617
-1 -18 8666
-1 -19 11974
-1 -1 603111
-1 -20 4415
-1 -21 10130
-1 -22 2556
-1 -23 7739
-1 -24 6059
-1 -25 1843
-1 -26 3873
-1 -27 1783
-1 -28 6351
-1 -29 1655
-1 -2 1965888
-1 -30 2062
-1 -31 2467
-1 -32 835
-1 -33 2039
-1 -34 523
-1 -35 1547
-1 -36 1055
-1 -37 333
-1 -38 823
-1 -39 255
-1 -3 173139
-1 -40 1087
-1 -41 274
-1 -42 304
-1 -43 359
-1 -44 95
-1 -45 352
-1 -46 36
-1 -47 173
-1 -48 104
-1 -49 39
-1 -4 367527
-1 -50 64
-1 -51 12
-1 -52 67
-1 -53 6
-1 -54 37
-1 -55 32
-1 -56 3
-1 -57 6
-1 -58 3
-1 -59 6
-1 -5 91939
-1 -60 6
-1 -62 4
-1 -63 8
-1 -65 7
-1 -66 3
-1 -67 8
-1 -6 80595
-1 -7 123974
-1 -8 38882
-1 -9 86284
-1 0 798235
-1 10 49447
-1 11 13632
-1 12 84764
-1 13 23662
-1 14 6024
-1 15 16139
-1 16 5737
-1 17 10839
-1 18 5623
-1 19 5054
-1 1 1743570
-1 20 10059
-1 21 3479
-1 22 4572
-1 23 1641
-1 24 4522
-1 25 4081
-1 26 1083
-1 27 2455
-1 28 1178
-1 29 2270
-1 2 117020
-1 30 1234
-1 31 886
-1 32 1377
-1 33 379
-1 34 930
-1 35 261
-1 36 598
-1 37 595
-1 38 146
-1 39 415
-1 3 580312
-1 40 145
-1 41 366
-1 42 159
-1 43 95
-1 44 203
-1 45 81
-1 46 124
-1 47 26
-1 48 43
-1 49 61
-1 4 102623
-1 51 25
-1 52 8
-1 53 32
-1 56 34
-1 57 6
-1 59 3
-1 5 221700
-1 61 8
-1 63 5
-1 68 3
-1 6 93174
-1 75 8
-1 77 12
-1 7 61825
-1 80 10
-1 87 7
-1 8 125360
-1 92 6
-1 94 4
-1 9 37739
-10 -10 4466
-10 -11 3183
-10 -12 16006
-10 -13 1138
-10 -14 7777
-10 -15 1852
-10 -16 3686
-10 -17 2599
-10 -18 1182
-10 -19 3840
-10 -1 12976
-10 -20 1301
-10 -21 2175
-10 -22 680
-10 -23 544
-10 -24 1928
-10 -25 130
-10 -26 942
-10 -27 344
-10 -28 736
-10 -29 358
-10 -2 50826
-10 -30 162
-10 -31 608
-10 -32 134
-10 -33 251
-10 -34 88
-10 -35 60
-10 -36 154
-10 -37 13
-10 -38 97
-10 -39 23
-10 -3 14777
-10 -40 57
-10 -41 28
-10 -42 10
-10 -43 34
-10 -44 11
-10 -45 9
